year,hbr,admission_type,age_group,sex,diagnosis,number_of_discharges,crude_rate,easr,hb_name
2009,S92000003,Elective,45-64 years,All,TIAs and related syndromes,17,1.203881598,1.200284328,Scotland
2009,S92000003,Elective,45-64 years,Male,Cerebrovascular Disease,176,25.4761212,25.7103057,Scotland
2009,S92000003,Elective,45-64 years,Male,Stroke,28,4.053019282,4.125554672,Scotland
2009,S92000003,Elective,45-64 years,Male,Subarachnoid Haemorrhage,13,1.881758952,1.9146712,Scotland
2009,S92000003,Elective,45-64 years,Male,TIAs and related syndromes,10,1.447506887,1.439600178,Scotland
2009,S92000003,Elective,45-64 years,Female,Cerebrovascular Disease,199,27.59075834,27.72257013,Scotland
2009,S92000003,Elective,45-64 years,Female,Stroke,30,4.159410806,4.130967409,Scotland
2009,S92000003,Elective,45-64 years,Female,Subarachnoid Haemorrhage,30,4.159410806,4.143713405,Scotland
2009,S92000003,Elective,45-64 years,Female,TIAs and related syndromes,7,0.970529188,0.960968477,Scotland
2009,S92000003,Elective,65-74 years,All,Cerebrovascular Disease,285,60.16897983,61.41597288,Scotland
2009,S92000003,Elective,65-74 years,All,Stroke,72,15.20058438,15.6053604,Scotland
2009,S92000003,Elective,65-74 years,All,Subarachnoid Haemorrhage,8,1.68895382,1.688211624,Scotland
2009,S92000003,Elective,65-74 years,All,TIAs and related syndromes,25,5.277980687,5.291599672,Scotland
2009,S92000003,Elective,65-74 years,Male,Cerebrovascular Disease,166,75.53798059,75.92645317,Scotland
2009,S92000003,Elective,65-74 years,Male,Stroke,43,19.56706726,19.7478247,Scotland
2009,S92000003,Elective,65-74 years,Male,Subarachnoid Haemorrhage,4,1.820192303,1.787174832,Scotland
2009,S92000003,Elective,65-74 years,Male,TIAs and related syndromes,11,5.005528834,5.08655757,Scotland
2009,S92000003,Elective,65-74 years,Female,Cerebrovascular Disease,119,46.8671847,46.90549259,Scotland
2009,S92000003,Elective,65-74 years,Female,Stroke,29,11.42141476,11.4628961,Scotland
2009,S92000003,Elective,65-74 years,Female,Subarachnoid Haemorrhage,4,1.575367553,1.589248417,Scotland
2009,S92000003,Elective,65-74 years,Female,TIAs and related syndromes,14,5.513786435,5.496641773,Scotland
2009,S92000003,Elective,under75 years,All,Cerebrovascular Disease,751,15.53260389,16.68735449,Scotland
2009,S92000003,Elective,under75 years,All,Stroke,149,3.081701703,3.38264118,Scotland
2009,S92000003,Elective,under75 years,All,Subarachnoid Haemorrhage,67,1.385731638,1.409272313,Scotland
2009,S92000003,Elective,under75 years,All,TIAs and related syndromes,44,0.910032718,0.998210892,Scotland
2009,S92000003,Elective,under75 years,Male,Cerebrovascular Disease,387,16.25480136,18.08547136,Scotland
2009,S92000003,Elective,under75 years,Male,Stroke,85,3.57017601,4.048011659,Scotland
2009,S92000003,Elective,under75 years,Male,Subarachnoid Haemorrhage,25,1.050051768,1.105920744,Scotland
2009,S92000003,Elective,under75 years,Male,TIAs and related syndromes,22,0.924045555,1.045315217,Scotland
2009,S92000003,Elective,under75 years,Female,Cerebrovascular Disease,364,14.83198297,15.28923762,Scotland
2009,S92000003,Elective,under75 years,Female,Stroke,64,2.607821182,2.7172707,Scotland
2009,S92000003,Elective,under75 years,Female,Subarachnoid Haemorrhage,42,1.71138265,1.712623882,Scotland
2009,S92000003,Elective,under75 years,Female,TIAs and related syndromes,22,0.896438531,0.951106566,Scotland
2009,S92000003,Elective,75plus years,All,Cerebrovascular Disease,281,70.79708447,80.284588780000007,Scotland
2009,S92000003,Elective,75plus years,All,Stroke,118,29.72973654,36.73420362,Scotland
2009,S92000003,Elective,75plus years,All,Subarachnoid Haemorrhage,1,0.25194692,0.221037461,Scotland
2009,S92000003,Elective,75plus years,All,TIAs and related syndromes,18,4.535044557,4.420105509,Scotland
2009,S92000003,Elective,75plus years,Male,Cerebrovascular Disease,167,110.4979687,115.1809591,Scotland
2009,S92000003,Elective,75plus years,Male,Stroke,62,41.02319796,51.08621795,Scotland
2009,S92000003,Elective,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,Scotland
2009,S92000003,Elective,75plus years,Male,TIAs and related syndromes,7,4.631651382,4.416658561,Scotland
2009,S92000003,Elective,75plus years,Female,Cerebrovascular Disease,114,46.3838877,45.38821844,Scotland
2009,S92000003,Elective,75plus years,Female,Stroke,56,22.78506764,22.38218928,Scotland
2009,S92000003,Elective,75plus years,Female,Subarachnoid Haemorrhage,1,0.406876208,0.442074923,Scotland
2009,S92000003,Elective,75plus years,Female,TIAs and related syndromes,11,4.475638287,4.423552457,Scotland
2009,S92000003,Emergency,All,All,Cerebrovascular Disease,12302,235.1344636,271.2348751,Scotland
2009,S92000003,Emergency,All,All,Stroke,8069,154.2269539,179.016624,Scotland
2009,S92000003,Emergency,All,All,Subarachnoid Haemorrhage,630,12.04151455,12.16887811,Scotland
2009,S92000003,Emergency,All,All,TIAs and related syndromes,2277,43.52147403,49.88221736,Scotland
2009,S92000003,Emergency,All,Male,Cerebrovascular Disease,5928,234.1260892,303.7302856,Scotland
2009,S92000003,Emergency,All,Male,Stroke,3907,154.3067865,202.4396393,Scotland
2009,S92000003,Emergency,All,Male,Subarachnoid Haemorrhage,219,8.649394997,9.013648521,Scotland
2009,S92000003,Emergency,All,Male,TIAs and related syndromes,1114,43.99737911,55.9502182,Scotland
2009,S92000003,Emergency,All,Female,Cerebrovascular Disease,6374,236.0801072,238.7394647,Scotland
2009,S92000003,Emergency,All,Female,Stroke,4162,154.1520876,155.5936087,Scotland
2009,S92000003,Emergency,All,Female,Subarachnoid Haemorrhage,411,15.22261124,15.32410771,Scotland
2009,S92000003,Emergency,All,Female,TIAs and related syndromes,1163,43.07517488,43.81421651,Scotland
2009,S92000003,Emergency,0-44 years,All,Cerebrovascular Disease,550,18.64896078,18.55282391,Scotland
2009,S92000003,Emergency,0-44 years,All,Stroke,255,8.646336361,8.640999898,Scotland
2009,S92000003,Emergency,0-44 years,All,Subarachnoid Haemorrhage,126,4.272307378,4.234468796,Scotland
2009,S92000003,Emergency,0-44 years,All,TIAs and related syndromes,75,2.543040106,2.51947843,Scotland
2009,S92000003,Emergency,0-44 years,Male,Cerebrovascular Disease,288,19.58870521,19.70385134,Scotland
2009,S92000003,Emergency,0-44 years,Male,Stroke,145,9.862368941,9.926544583,Scotland
2009,S92000003,Emergency,0-44 years,Male,Subarachnoid Haemorrhage,57,3.876931239,3.940181273,Scotland
2009,S92000003,Emergency,0-44 years,Male,TIAs and related syndromes,35,2.380571813,2.378117502,Scotland
2009,S92000003,Emergency,0-44 years,Female,Cerebrovascular Disease,262,17.71477987,17.40179647,Scotland
2009,S92000003,Emergency,0-44 years,Female,Stroke,110,7.437503,7.355455213,Scotland
2009,S92000003,Emergency,0-44 years,Female,Subarachnoid Haemorrhage,69,4.665342791,4.528756318,Scotland
2009,S92000003,Emergency,0-44 years,Female,TIAs and related syndromes,40,2.704546546,2.660839358,Scotland
2009,S92000003,Emergency,45-64 years,All,Cerebrovascular Disease,2792,197.7198483,200.1317861,Scotland
2009,S92000003,Emergency,45-64 years,All,Stroke,1652,116.9889647,118.8700852,Scotland
2009,S92000003,Emergency,45-64 years,All,Subarachnoid Haemorrhage,301,21.31578593,21.21973655,Scotland
2009,S92000003,Emergency,45-64 years,All,TIAs and related syndromes,596,42.20667248,42.58620183,Scotland
2009,S92000003,Emergency,45-64 years,Male,Cerebrovascular Disease,1639,237.2463787,239.4289441,Scotland
2009,S92000003,Emergency,45-64 years,Male,Stroke,1051,152.1329738,153.6531109,Scotland
2009,S92000003,Emergency,45-64 years,Male,Subarachnoid Haemorrhage,109,15.77782506,15.91369304,Scotland
2009,S92000003,Emergency,45-64 years,Male,TIAs and related syndromes,331,47.91247794,48.19024821,Scotland
2009,S92000003,Emergency,45-64 years,Female,Cerebrovascular Disease,1153,159.860022,160.8346282,Scotland
2009,S92000003,Emergency,45-64 years,Female,Stroke,601,83.32686314,84.08705954,Scotland
2009,S92000003,Emergency,45-64 years,Female,Subarachnoid Haemorrhage,192,26.62022916,26.52578006,Scotland
2009,S92000003,Emergency,45-64 years,Female,TIAs and related syndromes,265,36.74146212,36.98215545,Scotland
2009,S92000003,Emergency,65-74 years,All,Cerebrovascular Disease,2855,602.7453944,613.5903398,Scotland
2009,S92000003,Emergency,65-74 years,All,Stroke,1896,400.2820553,408.2890837,Scotland
2009,S92000003,Emergency,65-74 years,All,Subarachnoid Haemorrhage,122,25.75654575,25.1049481,Scotland
2009,S92000003,Emergency,65-74 years,All,TIAs and related syndromes,538,113.5821444,115.8460839,Scotland
2009,S92000003,Emergency,65-74 years,Male,Cerebrovascular Disease,1552,706.2346137,713.0323028,Scotland
2009,S92000003,Emergency,65-74 years,Male,Stroke,1053,479.1656238,483.8459411,Scotland
2009,S92000003,Emergency,65-74 years,Male,Subarachnoid Haemorrhage,34,15.47163458,15.57506947,Scotland
2009,S92000003,Emergency,65-74 years,Male,TIAs and related syndromes,296,134.6942304,136.213061,Scotland
2009,S92000003,Emergency,65-74 years,Female,Cerebrovascular Disease,1303,513.1759804,514.1483767,Scotland
2009,S92000003,Emergency,65-74 years,Female,Stroke,843,332.0087118,332.7322264,Scotland
2009,S92000003,Emergency,65-74 years,Female,Subarachnoid Haemorrhage,88,34.65808616,34.63482674,Scotland
2009,S92000003,Emergency,65-74 years,Female,TIAs and related syndromes,242,95.30973695,95.47910682,Scotland
2009,S92000003,Emergency,under75 years,All,Cerebrovascular Disease,6197,128.1698353,140.0883889,Scotland
2009,S92000003,Emergency,under75 years,All,Stroke,3803,78.6557824,86.85391904,Scotland
2009,S92000003,Emergency,under75 years,All,Subarachnoid Haemorrhage,549,11.35472641,11.58886031,Scotland
2009,S92000003,Emergency,under75 years,All,TIAs and related syndromes,1209,25.00521718,27.26340731,Scotland
2009,S92000003,Emergency,under75 years,Male,Cerebrovascular Disease,3479,146.125204,163.6891667,Scotland
2009,S92000003,Emergency,under75 years,Male,Stroke,2249,94.46265701,106.4639915,Scotland
2009,S92000003,Emergency,under75 years,Male,Subarachnoid Haemorrhage,200,8.40041414,8.769460261,Scotland
2009,S92000003,Emergency,under75 years,Male,TIAs and related syndromes,662,27.8053708,31.16150619,Scotland
2009,S92000003,Emergency,under75 years,Female,Cerebrovascular Disease,2718,110.7509058,116.4876111,Scotland
2009,S92000003,Emergency,under75 years,Female,Stroke,1554,63.32115807,67.24384655,Scotland
2009,S92000003,Emergency,under75 years,Female,Subarachnoid Haemorrhage,349,14.22077488,14.40826037,Scotland
2009,S92000003,Emergency,under75 years,Female,TIAs and related syndromes,547,22.28872166,23.36530842,Scotland
2009,S92000003,Emergency,75plus years,All,Cerebrovascular Disease,6105,1538.135946,1597.271569,Scotland
2009,S92000003,Emergency,75plus years,All,Stroke,4266,1074.80556,1110.883974,Scotland
2009,S92000003,Emergency,75plus years,All,Subarachnoid Haemorrhage,81,20.40770051,18.03350252,Scotland
2009,S92000003,Emergency,75plus years,All,TIAs and related syndromes,1068,269.0793104,278.583519,Scotland
2009,S92000003,Emergency,75plus years,Male,Cerebrovascular Disease,2449,1620.416319,1719.701598,Scotland
2009,S92000003,Emergency,75plus years,Male,Stroke,1658,1097.039713,1172.860078,Scotland
2009,S92000003,Emergency,75plus years,Male,Subarachnoid Haemorrhage,19,12.57162518,11.48266314,Scotland
2009,S92000003,Emergency,75plus years,Male,TIAs and related syndromes,452,299.0723464,306.5916397,Scotland
2009,S92000003,Emergency,75plus years,Female,Cerebrovascular Disease,3656,1487.539416,1474.84154,Scotland
2009,S92000003,Emergency,75plus years,Female,Stroke,2608,1061.13315,1048.9078709999999,Scotland
2009,S92000003,Emergency,75plus years,Female,Subarachnoid Haemorrhage,62,25.22632489,24.5843419,Scotland
2009,S92000003,Emergency,75plus years,Female,TIAs and related syndromes,616,250.6357441,250.5753983,Scotland
2009,S92000003,Transfer,All,All,Cerebrovascular Disease,12211,233.3951337,270.5710582,Scotland
2009,S92000003,Transfer,All,All,Stroke,8903,170.1676255,197.957745,Scotland
2009,S92000003,Transfer,All,All,Subarachnoid Haemorrhage,707,13.51325522,13.84295669,Scotland
2009,S92000003,Transfer,All,All,TIAs and related syndromes,762,14.56449856,16.72883996,Scotland
2009,S92000003,Transfer,All,Male,Cerebrovascular Disease,5926,234.0470993,307.0073225,Scotland
2009,S92000003,Transfer,All,Male,Stroke,4299,169.7888086,224.8014181,Scotland
2009,S92000003,Transfer,All,Male,Subarachnoid Haemorrhage,218,8.609900042,9.095880661,Scotland
2009,S92000003,Transfer,All,Male,TIAs and related syndromes,363,14.33666842,18.59487679,Scotland
2009,S92000003,Transfer,All,Female,Cerebrovascular Disease,6285,232.7837267,234.1347939,Scotland
2009,S92000003,Transfer,All,Female,Stroke,4604,170.5228763,171.1140719,Scotland
2009,S92000003,Transfer,All,Female,Subarachnoid Haemorrhage,489,18.11157396,18.59003272,Scotland
2009,S92000003,Transfer,All,Female,TIAs and related syndromes,399,14.77815544,14.86280313,Scotland
2009,S92000003,Transfer,0-44 years,All,Cerebrovascular Disease,574,19.46273361,19.47361877,Scotland
2009,S92000003,Transfer,0-44 years,All,Stroke,303,10.27388203,10.32093322,Scotland
2009,S92000003,Transfer,0-44 years,All,Subarachnoid Haemorrhage,139,4.713100997,4.707339571,Scotland
2009,S92000003,Transfer,0-44 years,All,TIAs and related syndromes,14,0.47470082,0.476469273,Scotland
2009,S92000003,Transfer,0-44 years,Male,Cerebrovascular Disease,313,21.28911365,21.42006057,Scotland
2009,S92000003,Transfer,0-44 years,Male,Stroke,189,12.85508779,13.01165168,Scotland
2009,S92000003,Transfer,0-44 years,Male,Subarachnoid Haemorrhage,58,3.944947576,3.943228078,Scotland
2009,S92000003,Transfer,0-44 years,Male,TIAs and related syndromes,9,0.612147038,0.612519009,Scotland
2009,S92000003,Transfer,0-44 years,Female,Cerebrovascular Disease,261,17.64716621,17.52717697,Scotland
2009,S92000003,Transfer,0-44 years,Female,Stroke,114,7.707957655,7.630214767,Scotland
2009,S92000003,Transfer,0-44 years,Female,Subarachnoid Haemorrhage,81,5.476706755,5.471451064,Scotland
2009,S92000003,Transfer,0-44 years,Female,TIAs and related syndromes,5,0.338068318,0.340419536,Scotland
2009,S92000003,Transfer,45-64 years,All,Cerebrovascular Disease,2447,173.2881335,175.5104737,Scotland
2009,S92000003,Transfer,45-64 years,All,Stroke,1607,113.8022192,115.7759694,Scotland
2009,S92000003,Transfer,45-64 years,All,Subarachnoid Haemorrhage,312,22.09476814,21.91136391,Scotland
2009,S92000003,Transfer,45-64 years,All,TIAs and related syndromes,167,11.82636628,11.91552255,Scotland
2009,S92000003,Transfer,45-64 years,Male,Cerebrovascular Disease,1414,204.6774738,206.9487121,Scotland
2009,S92000003,Transfer,45-64 years,Male,Stroke,1011,146.3429462,148.0947495,Scotland
2009,S92000003,Transfer,45-64 years,Male,Subarachnoid Haemorrhage,89,12.88281129,12.98313904,Scotland
2009,S92000003,Transfer,45-64 years,Male,TIAs and related syndromes,102,14.76457024,14.80361347,Scotland
2009,S92000003,Transfer,45-64 years,Female,Cerebrovascular Disease,1033,143.2223787,144.0722352,Scotland
2009,S92000003,Transfer,45-64 years,Female,Stroke,596,82.633628,83.45718933,Scotland
2009,S92000003,Transfer,45-64 years,Female,Subarachnoid Haemorrhage,223,30.91828699,30.83958878,Scotland
2009,S92000003,Transfer,45-64 years,Female,TIAs and related syndromes,65,9.012056745,9.02743163,Scotland
2009,S92000003,Transfer,65-74 years,All,Cerebrovascular Disease,2870,605.9121828,618.8349597,Scotland
2009,S92000003,Transfer,65-74 years,All,Stroke,2063,435.5389663,445.2829507,Scotland
2009,S92000003,Transfer,65-74 years,All,Subarachnoid Haemorrhage,184,38.84593785,37.92075021,Scotland
2009,S92000003,Transfer,65-74 years,All,TIAs and related syndromes,177,37.36810326,38.45007086,Scotland
2009,S92000003,Transfer,65-74 years,Male,Cerebrovascular Disease,1635,744.003604,750.3284372,Scotland
2009,S92000003,Transfer,65-74 years,Male,Stroke,1200,546.057691,549.9794518,Scotland
2009,S92000003,Transfer,65-74 years,Male,Subarachnoid Haemorrhage,53,24.11754802,24.15511704,Scotland
2009,S92000003,Transfer,65-74 years,Male,TIAs and related syndromes,100,45.50480758,46.45828337,Scotland
2009,S92000003,Transfer,65-74 years,Female,Cerebrovascular Disease,1235,486.394732,487.3414822,Scotland
2009,S92000003,Transfer,65-74 years,Female,Stroke,863,339.8855495,340.5864497,Scotland
2009,S92000003,Transfer,65-74 years,Female,Subarachnoid Haemorrhage,131,51.59328736,51.68638338,Scotland
2009,S92000003,Transfer,65-74 years,Female,TIAs and related syndromes,77,30.32582539,30.44185834,Scotland
2009,S92000003,Transfer,under75 years,All,Cerebrovascular Disease,5891,121.8409714,134.0700005,Scotland
2009,S92000003,Transfer,under75 years,All,Stroke,3973,82.1718179,91.21829194,Scotland
2009,S92000003,Transfer,under75 years,All,Subarachnoid Haemorrhage,635,13.13342672,13.54961931,Scotland
2009,S92000003,Transfer,under75 years,All,TIAs and related syndromes,358,7.404357113,8.189191564,Scotland
2009,S92000003,Transfer,under75 years,Male,Cerebrovascular Disease,3362,141.2109617,159.5524476,Scotland
2009,S92000003,Transfer,under75 years,Male,Stroke,2400,100.8049697,114.3068604,Scotland
2009,S92000003,Transfer,under75 years,Male,Subarachnoid Haemorrhage,200,8.40041414,8.907870655,Scotland
2009,S92000003,Transfer,under75 years,Male,TIAs and related syndromes,211,8.862436918,10.03498636,Scotland
2009,S92000003,Transfer,under75 years,Female,Cerebrovascular Disease,2529,103.0496839,108.5875533,Scotland
2009,S92000003,Transfer,under75 years,Female,Stroke,1573,64.09535498,68.12972348,Scotland
2009,S92000003,Transfer,under75 years,Female,Subarachnoid Haemorrhage,435,17.72503459,18.19136797,Scotland
2009,S92000003,Transfer,under75 years,Female,TIAs and related syndromes,147,5.989839277,6.343396767,Scotland
2009,S92000003,Transfer,75plus years,All,Cerebrovascular Disease,6320,1592.304533,1650.74842,Scotland
2009,S92000003,Transfer,75plus years,All,Stroke,4930,1242.098315,1277.212215,Scotland
2009,S92000003,Transfer,75plus years,All,Subarachnoid Haemorrhage,72,18.14017823,16.80892351,Scotland
2009,S92000003,Transfer,75plus years,All,TIAs and related syndromes,404,101.7865556,103.0741737,Scotland
